Enhancer,Marker,Sample#,Thumbnail,\|E\|,\|D\|,\|M\|,\|TP\|,Specificity,Sensitivity,Composite Images
Tandem,TAC3,2,1zBr3fPJ6W38sE7sBj86iOCazmLaUk6qz,33,208,37,4,0.8304,0.1081,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AICWfebVEQaLYcInSyMGQFU/TAC3?dl=0&e=1&preview=20230203_CJSchnitzel_Tac3_40X--FOV_01458-A647_DAPI-TAC3_tandemEnhancer-TAC3_FISH.tif&rlkey=azzm86dlj60kc7ztq8xek9096
Tandem,TAC3,3,1BTt1vQKFiHKKbuoCJ98t6J2bzThB7AAw,21,266,34,4,0.9267,0.1176,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AICWfebVEQaLYcInSyMGQFU/TAC3?dl=0&e=1&preview=20230203_CJSchnitzel_Tac3_DRD1_DRD2_40X--FOV+01475-DAPI-TAC3_tandemEnhancer-TAC3_FISH.tif&rlkey=azzm86dlj60kc7ztq8xek9096
BCL11b,CTIP2,1,1R_NWOxOnu0Q0PLgWzmUMfBXy0Ygt9Tgo,16,730,279,6,0.9778,0.0215,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGTVo3eIRKO9LjxtMNoqhPg/BCL11b/BCL11b_primary_marker_CTIP2?dl=0&preview=cjIngrid_layer5_example_20x_DAPI_aGFP-BCL11b-E4_aCTIP2.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
BCL11b,CTIP2,2,1gYY1odQ37Zq7amii3XYdeK6D4Jycb4-o,4,900,237,4,1,0.0169,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGTVo3eIRKO9LjxtMNoqhPg/BCL11b/BCL11b_primary_marker_CTIP2?dl=0&preview=MAX_cjFog_RCtx_Plate2C1_DAPI_BCL11bE4gfp-aCTIP2647_20xZStack.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
BCL11b,CTIP2,3,12VrNpKyaqP_vPimGLA7hcgDz1rT04kJa,35,517,134,23,0.9687,0.1716,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGTVo3eIRKO9LjxtMNoqhPg/BCL11b/BCL11b_primary_marker_CTIP2?dl=0&preview=MAX_cjIngrid_PostPlate1A1_DAPI_aGFP488-BCL11b-E4_aCTIP2647_10xZStack_040824.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
BCL11b,FOXP2,1,1gQGtIjSq3t63JkighOXka7_oDp2TLZN6,21,2820,2440,17,0.9895,0.007,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AH5WLJBRrBjZmHs9O8bFpF0/BCL11b/BCL11b_secondary_marker_FOXP2?dl=0&e=1&preview=MAX_cjFog_RCtx_Plate2A4_DAPI-BCL11b_E4-aFOXP2647_10xStack_A01_G001_0001.tif&rlkey=azzm86dlj60kc7ztq8xek9096
BCL11b,FOXP2,2,1mn9WVs8y3tZI1wUgt4tcHvLwzHXmGivR,108,3136,2221,86,0.976,0.0387,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AH5WLJBRrBjZmHs9O8bFpF0/BCL11b/BCL11b_secondary_marker_FOXP2?dl=0&e=1&preview=MAX_cjFog_RCtx_Plate2A4_DAPI-BCL11b_E4-aFOXP2647_10xStack_A01_G001_0002.tif&rlkey=azzm86dlj60kc7ztq8xek9096
CHAT,RiceE1-primary,1,1KzHWNDj91HiH9MzbqFbuwvvjB7ievGuf,12,1317,11,0,0.9908,0,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_-CHAT_E1_aChAT647_20xStack_0001.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,2,18nY_inDAvF4nHwGXGars4U5ycyfrpCph,2,1206,12,1,0.9992,0.0833,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_-CHAT_E1_aChAT647_20xStack_0002.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,3,1cvJjeHe7B0s5qJ9aYBzV436Libnxh12q,2,1185,7,1,0.9992,0.1429,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_-CHAT_E1_aChAT647_20xStack_0004.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,4,1yX6H9c5g3V3RstvD_tnkPpl9xZCt4IVN,22,1123,13,0,0.9802,0,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_-CHAT_E1_aChAT647_20xStack.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,5,1YI75w4oKtstLcqXNFPfvHru9BNqw29rC,2,3550,10,0,0.9994,0,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1A1S1_DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0009.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,6,12BrRqmaau-RFh4NbRsJDOqkgZzEDZgXl,3,3390,14,1,0.9994,0.0714,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1A1S1_DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0012.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,7,1GCBLiR8TG0tY8Wtzp8Nk4kAnlhwm1zXe,57,3511,11,3,0.9846,0.2727,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1A1S1DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0010.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,8,1QoS5WK3WAV3TB_r_tLZof3kucmL4HWX-,1,3605,9,1,1,0.1111,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1A1S1DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0014.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,9,1dFwz_UV7zLHyLxzFaSCqCPhKmhrqRxuS,2,3636,27,2,1,0.0741,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1A1S2DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0009.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,10,1ggqq20kEeVFcLCHSefKVj1QCCjGBjPJx,4,3361,33,1,0.9991,0.0303,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1B1S1_DAPI_-CHAT_E1_aChAT647_10xStack_A01_G001_0015.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,11,1C7rhcOSphP2sDbUhwjAd2kbsMD8VDSLv,5,3386,22,1,0.9988,0.0455,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1B1S1_DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0004.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-primary,12,1cR-rK-orsSmh4U4XOyitX8RzEf1oU4Jm,3,3590,13,1,0.9994,0.0769,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADwxItyYtkJ7eDK2sMvTdb8/CHAT/CHAT-RicE1-aCHAT_primary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate1B1S1_DAPI_CHAT_E1_aChAT647_10xStack_A01_G001_0005.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,1,1FhlDsD6Pv38fdQwooG13z2cZWWhS7aSd,9,3110,6,1,0.9974,0.1667,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_CHAT-E1_aVAChT647_10xStack_A01_G001_0004.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,2,12nssD8oVxmW_gEm-nQ86kC1jZdVKOaVg,15,3559,2,0,0.9958,0,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_DAPI_CHAT-E1_aVAChT647_10xStack_A01_G001_0012.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,3,1gYyisA9BQeSAOYz1TyhtF__8SpLOnUm9,1,3215,20,1,1,0.05,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate2B2_DAPI_CHAT-E1_aVAChT647_10xStack_Cycle_A01_G001_0003.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,4,1TsPYHJ6rnCM2TaRuV359IZf7VvTvH0rY,4,3771,23,1,0.9992,0.0435,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate2B2_DAPI_CHAT-E1_aVAChT647_10xStack_Cycle_A01_G001_0006.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,5,1nzDo-sG6V1dJUeOqPmaysVYeh11yuMHM,3,2646,32,2,0.9996,0.0625,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&preview=MAX_cjSatsuma_ChATSysInj_Plate2B2_DAPI_CHAT-E1-aVAChT647_10xStack_Cycle_A01_G001_0011.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
CHAT,RiceE1-secondary,6,1qqUVijImvlxvartcc_MZqhCvsokAmXGq,8,1441,13,0,0.9944,0,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANBWPEiFeLFAcSwmP6Rb2vg/CHAT/CHAT-RicE1-secondary_marker?dl=0&e=1&preview=MAX_cjSatsuma_ChATSysInj_Plate2B2_DAPI-CHAT-E1_aVAChT647_10xStack_Cycle_A01_G001_0004.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
