Enhancer,Marker,Sample#,Thumbnail,\|E\|,\|D\|,\|M\|,\|TP\|,Specificity,Sensitivity,Composite Images
DA (DAE4),DAT,4,1FyVMLK-sgiqpgqEM1mNFy3uInSoEmYKg,121,8252,657,88,0.9957,0.1339,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADrplkBDHw7FT0pZzx2X230/DA/DA_E4-GFP_E8-RFP/ISH_DAT?dl=0&preview=cjFlorian_FLM-WD6-S1_Nissl-405_cjDAE4-488_cjDAE8-555_DAT-647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
DA (DAE8),antiTH,1,16Q8Xy4sfO5TgslT6nnsFL9C-AHmfo0Hk,101,3960,855,64,0.9881,0.0749,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FLM-WA1-S2_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
DA (DAE8),antiTH,2,1cE1rP3wGC6KXeXXcwEwImu3l0WPrVjB9,62,3424,181,21,0.9874,0.116,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FLM-WC1-S1_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
DA (DAE8),antiTH,3,1Vnn9SYA2S3-E4bgR9sQyoKcv1SWWUl_w,100,4506,266,30,0.9835,0.1128,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FLM-WD1-S1_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
DA (DAE8),antiTH,4,1UAx40K93N-oWFXqvVLbaLxmx8w4HsKNy,80,4738,356,33,0.9893,0.0927,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FRM-WA1-S2_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
DA (DAE8),DAT,1,1qEzgMCDcQ9zHY1LcY_4LvfNfa3uqCo1x,32,9293,369,15,0.9981,0.0407,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADrplkBDHw7FT0pZzx2X230/DA/DA_E4-GFP_E8-RFP/ISH_DAT?dl=0&preview=cjFlorian_FLM-WB6-S1_Nissl-405_cjDAE4-488_cjDAE8-555_DAT-647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
DA (DAE8),DAT,2,1P2NGoAuXIMuxPqn-RRn-_ayYWyFLzz2N,68,8123,472,41,0.9965,0.0869,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADrplkBDHw7FT0pZzx2X230/DA/DA_E4-GFP_E8-RFP/ISH_DAT?dl=0&preview=cjFlorian_FLM-WC6-S1_Nissl-405_cjDAE4-488_cjDAE8-555_DAT-647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
DA (DAE8),DAT,3,1HEx8qNx35wxKZCHl6KPp2Ou6KuCP_S0H,411,8054,663,103,0.9583,0.1554,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADrplkBDHw7FT0pZzx2X230/DA/DA_E4-GFP_E8-RFP/ISH_DAT?dl=0&preview=cjFlorian_FLM-WD6-S1_Nissl-405_cjDAE4-488_cjDAE8-555_DAT-647_20X_1.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
DA (DAE8),DAT,4,1zj4IjMaa__xm04_3Nmv66tGz50dcRXk-,153,8252,657,107,0.9939,0.1629,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ADrplkBDHw7FT0pZzx2X230/DA/DA_E4-GFP_E8-RFP/ISH_DAT?dl=0&preview=cjFlorian_FLM-WD6-S1_Nissl-405_cjDAE4-488_cjDAE8-555_DAT-647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
FOXP2_RORB ( FOXP2_RORB_E4),antiRORB,1,1EQoFsOOQaDPT5kvNoBN-k_M014mwaPFY,318,6666,3322,167,0.9548,0.0503,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WA4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
